Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
Piso con terraza en El Vendrell ,106.500 €,-,2 habs.,2 baños,73 m²,tarragona
Piso con terraza en Calafell ,99.000 €,-,2 habs.,1 baño,64 m²,tarragona
"Ático con terraza en Carrer de Josep Maria de Sagarra, Vila-seca ",247.500 €,-,3 habs.,2 baños,95 m²,tarragona
Planta baja con terraza en Mont-roig del Camp ,160.000 €,-,2 habs.,2 baños,72 m²,tarragona
"Piso en C/ del Francolí,  Tarragona Capital ",34.700 €,-,3 habs.,1 baño,59 m²,tarragona
Piso con balcón en Calafell ,128.000 €,-,3 habs.,1 baño,76 m²,tarragona
"Piso en Av. Pallaresos (urb. San Salvador),  Tarragona Capital ",33.600 €,-,3 habs.,1 baño,62 m²,tarragona
Piso con terraza en El Vendrell ,99.500 €,-,3 habs.,2 baños,88 m²,tarragona
Casa adosada con terraza en Cunit ,252.000 €,-,3 habs.,2 baños,120 m²,tarragona
"Casa adosada en C/ Arquitecte Caselles, Reus ",63.000 €,-,2 habs.,1 baño,84 m²,tarragona
Casa o chalet con piscina en Mont-roig del Camp ,357.524 €,-,3 habs.,3 baños,193 m²,tarragona
"Piso en C/ Muralla, Reus ",65.000 €,-,3 habs.,1 baño,65 m²,tarragona
"Piso con ascensor en Carrer de L'alcalde Joan Bertran, Reus ",214.500 €,-,4 habs.,2 baños,148 m²,tarragona
Dúplex con terraza en Calafell ,189.000 €,-,3 habs.,2 baños,64 m²,tarragona
Ático con terraza en Reus ,239.000 €,-,3 habs.,2 baños,94 m²,tarragona
"Casa adosada con terraza en Ermita, Calafell ",235.000 €,-,3 habs.,2 baños,97 m²,tarragona
"Piso con piscina en Oliveres, Torredembarra ",182.000 €,-,3 habs.,2 baños,111 m²,tarragona
Piso con terraza en Mont-roig del Camp ,142.000 €, 26.000 €,2 habs.,2 baños,66 m²,tarragona
"Piso con balcón en Avinguda de Marià Fortuny, Reus ",133.500 €,-,4 habs.,1 baño,134 m²,tarragona
Casa o chalet con terraza en Roda de Berà ,339.000 €,-,4 habs.,3 baños,186 m²,tarragona
"Piso con balcón en Carrer Antoni Gaudí, Reus ",267.500 €,-,6 habs.,3 baños,183 m²,tarragona
"Piso con balcón en Carrer de Manresa, Reus ",189.900 €,-,3 habs.,2 baños,107 m²,tarragona
Casa o chalet con piscina en El Vendrell ,236.000 €,-,3 habs.,1 baño,124 m²,tarragona
"Piso con 1 baño en Avinguda de Manuel Carrasco I Formiguera, La Canonja ",99.900 €,-,3 habs.,1 baño,95 m²,tarragona
Piso con balcón en Calafell ,140.625 €,-,2 habs.,2 baños,74 m²,tarragona
"Piso con 1 baño en Valencia, Sant Jaume d'Enveja ",30.000 €, 32.000 €,2 habs.,1 baño,111 m²,tarragona
Planta baja con terraza en El Vendrell ,80.000 €,-,3 habs.,1 baño,77 m²,tarragona
"Apartamento con 1 baño en Cl Trinquet,20 Esc:1 Pl:0 Pt:01 Deltebre (tarragon, Deltebre ",33.000 €,-,2 habs.,1 baño,176 m²,tarragona
"Casa o chalet con terraza en Carrer de Frederic Soler, Reus ",212.500 €,-,3 habs.,1 baño,86 m²,tarragona
Planta baja con terraza en Calafell ,138.000 €,-,3 habs.,1 baño,70 m²,tarragona
Piso con balcón en El Vendrell ,119.000 €,-,3 habs.,2 baños,82 m²,tarragona
Piso con ascensor en El Vendrell ,119.990 €,-,3 habs.,1 baño,79 m²,tarragona
"Casa adosada con terraza en Avenida Independencia, Cambrils ",330.000 €, 30.000 €,5 habs.,3 baños,266 m²,tarragona
Ático con terraza en El Vendrell ,156.000 €, 19.000 €,4 habs.,2 baños,169 m²,tarragona
"Casa o chalet con piscina en Marinada, Calafell ",495.000 €, 40.000 €,5 habs.,2 baños,207 m²,tarragona
"Casa o chalet con piscina en Joan Vinyoli, El Vendrell ",332.000 €,-,5 habs.,4 baños,300 m²,tarragona
Piso con piscina en Altafulla ,268.000 €, 6.000 €,3 habs.,2 baños,104 m²,tarragona
Casa o chalet con piscina en La Pobla de Montornès   ,260.000 €,-,7 habs.,3 baños,180 m²,tarragona
"Planta baja con terraza en De L'esparver, El Vendrell ",205.000 €, 20.000 €,3 habs.,2 baños,104 m²,tarragona
"Casa adosada con terraza en Mare de Deu Guadalupe, Reus ",153.000 €, 22.000 €,4 habs.,2 baños,114 m²,tarragona
Piso con calefacción en Calafell ,147.000 €,-,3 habs.,1 baño,83 m²,tarragona
Casa adosada con piscina en Calafell ,330.000 €,-,4 habs.,3 baños,178 m²,tarragona
Casa adosada con terraza en Cambrils ,237.000 €, 13.000 €,3 habs.,4 baños,120 m²,tarragona
Planta baja con terraza en Calafell ,168.000 €,-,2 habs.,1 baño,60 m²,tarragona
"Piso con balcón en Valls, El Vendrell ",75.000 €,-,3 habs.,1 baño,83 m²,tarragona
Piso con balcón en Mont-roig del Camp ,75.000 €, 7.000 €,2 habs.,1 baño,51 m²,tarragona
Piso con 1 baño en Santa Bàrbara ,49.000 €, 40.500 €,3 habs.,1 baño,144 m²,tarragona
Piso con terraza en Constantí ,110.000 €, 9.000 €,4 habs.,2 baños,140 m²,tarragona
Planta baja con terraza en Calafell ,165.000 €,-,3 habs.,1 baño,95 m²,tarragona
"Casa o chalet con piscina en Antoni Maria Claret, Cambrils ",550.000 €,-,5 habs.,4 baños,285 m²,tarragona
Piso con terraza en Vila-seca ,80.000 €, 12.500 €,3 habs.,1 baño,100 m²,tarragona
Casa adosada con piscina en Alcanar ,189.900 €,-,3 habs.,2 baños,111 m²,tarragona
Casa o chalet con piscina en Roda de Berà ,680.000 €,-,6 habs.,4 baños,245 m²,tarragona
Ático con terraza en El Vendrell ,98.000 €,-,2 habs.,1 baño,75 m²,tarragona
Piso con terraza en La Canonja ,54.000 €,-,2 habs.,1 baño,104 m²,tarragona
Casa o chalet con terraza en La Bisbal del Penedès ,155.000 €, 35.000 €,5 habs.,2 baños,352 m²,tarragona
Piso con terraza en Móra d'Ebre ,49.000 €,-,3 habs.,2 baños,88 m²,tarragona
Piso con terraza en  Tarragona Capital ,179.000 €, 10.000 €,3 habs.,2 baños,104 m²,tarragona
Casa adosada con 1 baño en La Canonja ,290.000 €,-,5 habs.,1 baño,190 m²,tarragona
Casa adosada con terraza en Sant Carles de la Ràpita ,A consultar,-,3 habs.,2 baños,180 m²,tarragona
"Casa o chalet en Carrer D'alfred Sisley, Cambrils ",466.000 €,-,4 habs.,3 baños,170 m²,tarragona
