Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
"Piso con ascensor en Plaça Dels Jardins D'elx,  Barcelona Capital ",383.000 €,-,4 habs.,1 baño,95 m²,barcelona
"Piso con terraza en Carrer D'antonio Machado, Viladecans ",313.000 €,-,3 habs.,2 baños,90 m²,barcelona
"Piso con terraza en Rius I Taulet, Sant Cugat del Vallès ",659.000 €,-,3 habs.,3 baños,154 m²,barcelona
"Piso en Cl Cerdanya de la, Sant Boi de Llobregat ",208.000 €,-,3 habs.,1 baño,75 m²,barcelona
"Piso con balcón en Carrer Progrés, Badalona ",399.000 €, 31.000 €,3 habs.,2 baños,109 m²,barcelona
"Piso con ascensor en Carretera Antiga de València, Badalona ",173.000 €, 6.000 €,4 habs.,1 baño,74 m²,barcelona
"Piso con terraza en Carrer de Balmes,  Barcelona Capital ",760.000 €,-,5 habs.,3 baños,172 m²,barcelona
Apartamento con balcón en  Barcelona Capital ,395.000 €,-,3 habs.,2 baños,94 m²,barcelona
"Piso con ascensor en Carrer Lepant,  Barcelona Capital ",449.000 €,-,1 hab.,1 baño,171 m²,barcelona
"Ático con terraza en Viladomat,  Barcelona Capital ",1.250.000 €,-,2 habs.,2 baños,125 m²,barcelona
"Dúplex con terraza en Blaumar, Sant Pere de Ribes ",565.000 €,-,3 habs.,2 baños,90 m²,barcelona
"Casa o chalet con piscina en Carrer Dels Plàtans, Sant Pere de Ribes ",870.000 €,-,4 habs.,4 baños,224 m²,barcelona
"Dúplex en Torello, 9, Vic ",235.000 €, 4.000 €,4 habs.,2 baños,135 m²,barcelona
Piso con terraza en  Barcelona Capital ,1.200.000 €,-,4 habs.,3 baños,200 m²,barcelona
Piso con balcón en  Barcelona Capital ,425.000 €,-,3 habs.,2 baños,94 m²,barcelona
Piso con balcón en Sant Adrià de Besòs ,189.000 €,-,2 habs.,1 baño,66 m²,barcelona
"Piso con terraza en Cami Dels Capellans, Sitges ",575.000 €,-,3 habs.,2 baños,106 m²,barcelona
"Casa adosada con terraza en Carrer D'ignasi Iglesias,  Barcelona Capital ",475.000 €,-,3 habs.,3 baños,125 m²,barcelona
Piso con piscina en Vilassar de Mar ,319.000 €, 11.000 €,3 habs.,2 baños,108 m²,barcelona
Piso con terraza en Vilassar de Mar ,365.000 €,-,4 habs.,2 baños,103 m²,barcelona
"Ático con terraza en Angel Guimera, D', Terrassa ",224.957 €,-,3 habs.,2 baños,87 m²,barcelona
"Finca rústica con terraza en Cartella (can Domenech), Tordera ",495.000 €, 15.000 €,4 habs.,2 baños,216 m²,barcelona
Ático con terraza en Sant Cugat del Vallès ,990.000 €,-,4 habs.,3 baños,223 m²,barcelona
"Piso con piscina en Pau Alcover,  Barcelona Capital ",1.175.000 €, 75.000 €,3 habs.,2 baños,130 m²,barcelona
